schema,new_file,old_file,path,type,required,description
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","emisor.codPuntoVenta","string|null","no","Código del Punto de Venta (Emisor) asignado por el contribuyente (Opcional)"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","documento","object|null","si","Informacion del Documento a aplicar el evento"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","documento.tipoDte","string","si","Tipo de DTE"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","documento.tipoGeneracion","integer","si","Tipo de Generacion del Documento Tributario relacionado"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","documento.numeroDocumento","string","si","Numero de documento tributario relacionado"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","documento.fecEmi","string","si","Fecha del evento"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","documento.numeroDocumentoC","string|null","si","Numero del documento de complemento"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","documento.tipoDocumento","string|null","si","Tipo de documento de identificación (Receptor)"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","documento.numDocumento","string|null","si","Número de documento de Identificación (Receptor)"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","documento.nombre","string|null","si","Nombre (Receptor)"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","documento.telefono","string|null","no","Teléfono (Receptor) (Opcional)"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","documento.correo","string|null","si","Correo electrónico (Receptor)"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","ventaTercero","object|null","si","Ventas por Cuenta de Terceros"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","ventaTercero.nit","string|null","si","NIT por cuenta de Terceros"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","ventaTercero.nombre","string|null","si","Nombre, denominación o razón social del Tercero"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","ventaTercero.codDomiciliado","integer|null","si","Domicilio Fiscal"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento","array","si","Cuerpo del Documento"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[]","object","si",""
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[].numItem","integer","si","N° de ítem"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[].tipoItem","integer","si","Tipo de ítem"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[].cantidad","number","si","Cantidad"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[].codigo","string|null","si","codigo"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[].uniMedida","integer","si","Unidad de Medida"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[].descripcion","string|null","si","Descripcion"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[].codigoS","string|null","si","Codigo del bien en sustitución"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[].descripcionS","string|null","si","Descripcion del bien en sustitución"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[].precioUni","number","si","Precio Unitario"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[].montoDescu","number","si","Descuento por ítem"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[].ventaNoSuj","number","si","Ventas no Sujetas"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[].ventaExenta","number","si","Ventas Exentas"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[].ventaGravada","number","si","Ventas Gravadas"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","cuerpoDocumento[].noGravado","number","si","Cargos/Abonos que no afectan la base imponible"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen","object","si","Resumen"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.totalNoSuj","number","si","Total de Operaciones no Sujetas"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.totalExenta","number","si","Total de Operaciones exentas"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.totalGravada","number","si","Suma de Operaciones sin Impuestos"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.subTotalVentas","number","si","Suma de Operaciones sin Impuestos"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.seguro","number","si","Seguro"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.flete","number","si","Flete"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.subTotal","number","si","Subtotal"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.totalNoGravado","number","si","Total Cargos/Abonos que no afectan la base imponible"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.montoTotalOperacion","number","si","Monto Total de la Operación"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.totalLetras","string|null","si","Valor en Letras"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.pagos","array|null","si","Pagos"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.pagos[]","object","si",""
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.pagos[].plazo","string","si","Plazo"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.pagos[].periodo","number","si","Período de plazo"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","resumen.fecha","string","si","Fecha de vencimiento de la garantia"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","motivo","object","si","Datos del motivo de Anulacion"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","motivo.tipoAnulacion","integer","si","Tipo de Gestion"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","motivo.motivoAnulacion","string","si","Motivo de anulacion"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","motivo.nombreResponsable","string","si","Nombre de la persona responsable de anular el DTE"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","motivo.tipDocResponsable","integer","si","Tipo documento de identificación: 1 - NIT, 2 - DUI, 3 - Carnet de residente, 4 - PASAPORTE, 5 - OTRO"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","motivo.numDocResponsable","string","si","Número de documento de identificación "
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","motivo.nombreSolicita","string","si","Nombre de la persona que solicita anular el DTE"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","motivo.tipDocSolicita","integer","si","Tipo documento de identificación solicitante: 1 - NIT, 2 - DUI, 3 - Carnet de residente, 4 - PASAPORTE, 5 - OTRO"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","motivo.numDocSolicita","string","si","Número de documento de identificación solicitante."
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","apendice","array|null","si","Apéndice"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","apendice[]","object","si",""
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","apendice[].campo","string","si","Nombre del campo"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","apendice[].etiqueta","string","si","Descripción"
"fe-eges","svfe-json-schemas-new/v1/fe-eges-v1.json","(sin equivalente old)","apendice[].valor","string","si","Valor/Dato"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","identificacion","object","si","Identificación"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","identificacion.version","integer","si","Versión"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","identificacion.ambiente","string","si","Ambiente de destino"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","identificacion.tipoModelo","integer","si","Modelo de Facturación"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","identificacion.tipoOperacion","integer","si","Tipo de Transmisión"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","identificacion.tipoEvento","string","si","Tipo de evento"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","identificacion.codigoGeneracion","string","si","Código de Generación"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","identificacion.fecEmi","string","si","Fecha del Evento"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","identificacion.horEmi","string","si","Hora del Evento"
"fe-eop","svfe-json-schemas-new/v1/fe-eop-v1.json","(sin equivalente old)","identificacion.tipoMoneda","string","si","Tipo de Moneda"
